areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate,newCasesYesterday
nation,England,E92000001,2021/1/30,15524,3423286,15463,3416059,61,7227,20362
nation,England,E92000001,2021/1/29,20362,3407762,20276,3400596,86,7166,22523
nation,England,E92000001,2021/1/28,22523,3387400,22428,3380320,95,7080,23899
nation,England,E92000001,2021/1/27,23899,3364877,23806,3357892,93,6985,25210
nation,England,E92000001,2021/1/26,25210,3340978,25086,3334086,124,6892,27972
nation,England,E92000001,2021/1/25,27972,3315768,27851,3309000,121,6768,15883
nation,England,E92000001,2021/1/24,15883,3287796,15850,3281149,33,6647,20426
nation,England,E92000001,2021/1/23,20426,3271913,20365,3265299,61,6614,27741
nation,England,E92000001,2021/1/22,27741,3251487,27643,3244934,98,6553,29633
nation,England,E92000001,2021/1/21,29633,3223746,29518,3217291,115,6455,32679
nation,England,E92000001,2021/1/20,32679,3194113,32547,3187773,132,6340,37056
nation,England,E92000001,2021/1/19,37056,3161434,36894,3155226,162,6208,41936
nation,England,E92000001,2021/1/18,41936,3124378,41759,3118332,177,6046,26976
nation,England,E92000001,2021/1/17,26976,3082442,26904,3076573,72,5869,28412
nation,England,E92000001,2021/1/16,28412,3055466,28334,3049669,78,5797,37878
nation,England,E92000001,2021/1/15,37878,3027054,37759,3021335,119,5719,39659
nation,England,E92000001,2021/1/14,39659,2989176,39527,2983576,132,5600,42303
nation,England,E92000001,2021/1/13,42303,2949517,42198,2944049,105,5468,45968
nation,England,E92000001,2021/1/12,45968,2907214,45798,2901851,170,5363,53519
nation,England,E92000001,2021/1/11,53519,2861246,53344,2856053,175,5193,33749
nation,England,E92000001,2021/1/10,33749,2807727,33692,2802709,57,5018,36419
nation,England,E92000001,2021/1/9,36419,2773978,36348,2769017,71,4961,43494
nation,England,E92000001,2021/1/8,43494,2737559,43381,2732669,113,4890,48132
nation,England,E92000001,2021/1/7,48132,2694065,48018,2689288,114,4777,52752
nation,England,E92000001,2021/1/6,52752,2645933,52622,2641270,130,4663,59599
nation,England,E92000001,2021/1/5,59599,2593181,59426,2588648,173,4533,70920
nation,England,E92000001,2021/1/4,70920,2533582,70761,2529222,159,4360,50664
nation,England,E92000001,2021/1/3,50664,2462662,50599,2458461,65,4201,55428
nation,England,E92000001,2021/1/2,55428,2411998,55345,2407862,83,4136,28879
nation,England,E92000001,2021/1/1,28879,2356570,28836,2352517,43,4053,47823
nation,England,E92000001,2020/12/31,47823,2327691,47759,2323681,64,4010,64243
nation,England,E92000001,2020/12/30,64243,2279868,64131,2275922,112,3946,74058
nation,England,E92000001,2020/12/29,74058,2215625,73926,2211791,132,3834,40846
nation,England,E92000001,2020/12/28,40846,2141567,40799,2137865,47,3702,43250
nation,England,E92000001,2020/12/27,43250,2100721,43200,2097066,50,3655,37462
nation,England,E92000001,2020/12/26,37462,2057471,37421,2053866,41,3605,12926
nation,England,E92000001,2020/12/25,12926,2020009,12906,2016445,20,3564,29287
nation,England,E92000001,2020/12/24,29287,2007083,29244,2003539,43,3544,38383
nation,England,E92000001,2020/12/23,38383,1977796,38326,1974295,57,3501,41741
nation,England,E92000001,2020/12/22,41741,1939413,41658,1935969,83,3444,43446
nation,England,E92000001,2020/12/21,43446,1897672,43383,1894311,63,3361,29556
nation,England,E92000001,2020/12/20,29556,1854226,29523,1850928,33,3298,22196
nation,England,E92000001,2020/12/19,22196,1824670,22168,1821405,28,3265,32426
nation,England,E92000001,2020/12/18,32426,1802474,32380,1799237,46,3237,30160
nation,England,E92000001,2020/12/17,30160,1770048,30116,1766857,44,3191,30650
nation,England,E92000001,2020/12/16,30650,1739888,30611,1736741,39,3147,29652
nation,England,E92000001,2020/12/15,29652,1709238,29609,1706130,43,3108,30019
nation,England,E92000001,2020/12/14,30019,1679586,29975,1676521,44,3065,18409
nation,England,E92000001,2020/12/13,18409,1649567,18391,1646546,18,3021,16268
nation,England,E92000001,2020/12/12,16268,1631158,16241,1628155,27,3003,20177
nation,England,E92000001,2020/12/11,20177,1614890,20142,1611914,35,2976,18850
nation,England,E92000001,2020/12/10,18850,1594713,18819,1591772,31,2941,17744
nation,England,E92000001,2020/12/9,17744,1575863,17708,1572953,36,2910,16937
nation,England,E92000001,2020/12/8,16937,1558119,16902,1555245,35,2874,17663
nation,England,E92000001,2020/12/7,17663,1541182,17627,1538343,36,2839,11036
nation,England,E92000001,2020/12/6,11036,1523519,11022,1520716,14,2803,10302
nation,England,E92000001,2020/12/5,10302,1512483,10295,1509694,7,2789,13065
nation,England,E92000001,2020/12/4,13065,1502181,13045,1499399,20,2782,12762
nation,England,E92000001,2020/12/3,12762,1489116,12734,1486354,28,2762,13662
nation,England,E92000001,2020/12/2,13662,1476354,13636,1473620,26,2734,13731
nation,England,E92000001,2020/12/1,13731,1462692,13700,1459984,31,2708,15227
nation,England,E92000001,2020/11/30,15227,1448961,15202,1446284,25,2677,9067
nation,England,E92000001,2020/11/29,9067,1433734,9055,1431082,12,2652,9347
nation,England,E92000001,2020/11/28,9347,1424667,9332,1422027,15,2640,12460
nation,England,E92000001,2020/11/27,12460,1415320,12437,1412695,23,2625,12459
nation,England,E92000001,2020/11/26,12459,1402860,12441,1400258,18,2602,14154
nation,England,E92000001,2020/11/25,14154,1390401,14129,1387817,25,2584,14264
nation,England,E92000001,2020/11/24,14264,1376247,14238,1373688,26,2559,16472
nation,England,E92000001,2020/11/23,16472,1361983,16449,1359450,23,2533,10216
nation,England,E92000001,2020/11/22,10216,1345511,10206,1343001,10,2510,10806
nation,England,E92000001,2020/11/21,10806,1335295,10794,1332795,12,2500,14960
nation,England,E92000001,2020/11/20,14960,1324489,14936,1322001,24,2488,15797
nation,England,E92000001,2020/11/19,15797,1309529,15775,1307065,22,2464,18549
nation,England,E92000001,2020/11/18,18549,1293732,18516,1291290,33,2442,20676
nation,England,E92000001,2020/11/17,20676,1275183,20654,1272774,22,2409,24135
nation,England,E92000001,2020/11/16,24135,1254507,24107,1252120,28,2387,14421
nation,England,E92000001,2020/11/15,14421,1230372,14408,1228013,13,2359,16290
nation,England,E92000001,2020/11/14,16290,1215951,16278,1213605,12,2346,22009
nation,England,E92000001,2020/11/13,22009,1199661,21983,1197327,26,2334,22320
nation,England,E92000001,2020/11/12,22320,1177652,22289,1175344,31,2308,25065
nation,England,E92000001,2020/11/11,25065,1155332,25036,1153055,29,2277,24836
nation,England,E92000001,2020/11/10,24836,1130267,24803,1128019,33,2248,28561
nation,England,E92000001,2020/11/9,28561,1105431,28519,1103216,42,2215,18273
nation,England,E92000001,2020/11/8,18273,1076870,18255,1074697,18,2173,16888
nation,England,E92000001,2020/11/7,16888,1058597,16877,1056442,11,2155,21180
nation,England,E92000001,2020/11/6,21180,1041709,21146,1039565,34,2144,21205
nation,England,E92000001,2020/11/5,21205,1020529,21167,1018419,38,2110,21053
nation,England,E92000001,2020/11/4,21053,999324,21021,997252,32,2072,22690
nation,England,E92000001,2020/11/3,22690,978271,22649,976231,41,2040,28394
nation,England,E92000001,2020/11/2,28394,955581,28356,953582,38,1999,13611
nation,England,E92000001,2020/11/1,13611,927187,13591,925226,20,1961,14565
nation,England,E92000001,2020/10/31,14565,913576,14549,911635,16,1941,19899
nation,England,E92000001,2020/10/30,19899,899011,19871,897086,28,1925,20257
nation,England,E92000001,2020/10/29,20257,879112,20227,877215,30,1897,20547
nation,England,E92000001,2020/10/28,20547,858855,20523,856988,24,1867,20761
nation,England,E92000001,2020/10/27,20761,838308,20740,836465,21,1843,23033
nation,England,E92000001,2020/10/26,23033,817547,23008,815725,25,1822,13354
nation,England,E92000001,2020/10/25,13354,794514,13345,792717,9,1797,13713
nation,England,E92000001,2020/10/24,13713,781160,13696,779372,17,1788,18359
nation,England,E92000001,2020/10/23,18359,767447,18329,765676,30,1771,19866
nation,England,E92000001,2020/10/22,19866,749088,19849,747347,17,1741,21762
nation,England,E92000001,2020/10/21,21762,729222,21735,727498,27,1724,21638
nation,England,E92000001,2020/10/20,21638,707460,21590,705763,48,1697,22369
nation,England,E92000001,2020/10/19,22369,685822,22342,684173,27,1649,11982
nation,England,E92000001,2020/10/18,11982,663453,11966,661831,16,1622,12487
nation,England,E92000001,2020/10/17,12487,651471,12472,649865,15,1606,14761
nation,England,E92000001,2020/10/16,14761,638984,14730,637393,31,1591,15429
nation,England,E92000001,2020/10/15,15429,624223,15394,622663,35,1560,16646
nation,England,E92000001,2020/10/14,16646,608794,16626,607269,20,1525,15660
nation,England,E92000001,2020/10/13,15660,592148,15625,590643,35,1505,16420
nation,England,E92000001,2020/10/12,16420,576488,16395,575018,25,1470,9781
nation,England,E92000001,2020/10/11,9781,560068,9772,558623,9,1445,10301
nation,England,E92000001,2020/10/10,10301,550287,10287,548851,14,1436,13159
nation,England,E92000001,2020/10/9,13159,539986,13131,538564,28,1422,15452
nation,England,E92000001,2020/10/8,15452,526827,15434,525433,18,1394,15418
nation,England,E92000001,2020/10/7,15418,511375,15387,509999,31,1376,14458
nation,England,E92000001,2020/10/6,14458,495957,14430,494612,28,1345,14218
nation,England,E92000001,2020/10/5,14218,481499,14184,480182,34,1317,9966
nation,England,E92000001,2020/10/4,9966,467281,9957,465998,9,1283,9820
nation,England,E92000001,2020/10/3,9820,457315,9810,456041,10,1274,11719
nation,England,E92000001,2020/10/2,11719,447495,11692,446231,27,1264,11444
nation,England,E92000001,2020/10/1,11444,435776,11416,434539,28,1237,10663
nation,England,E92000001,2020/9/30,10663,424332,10632,423123,31,1209,8832
nation,England,E92000001,2020/9/29,8832,413669,8797,412491,35,1178,8641
nation,England,E92000001,2020/9/28,8641,404837,8625,403694,16,1143,6084
nation,England,E92000001,2020/9/27,6084,396196,6075,395069,9,1127,5704
nation,England,E92000001,2020/9/26,5704,390112,5699,388994,5,1118,6105
nation,England,E92000001,2020/9/25,6105,384408,6090,383295,15,1113,6361
nation,England,E92000001,2020/9/24,6361,378303,6340,377205,21,1098,5933
nation,England,E92000001,2020/9/23,5933,371942,5913,370865,20,1077,5400
nation,England,E92000001,2020/9/22,5400,366009,5379,364952,21,1057,4727
nation,England,E92000001,2020/9/21,4727,360609,4715,359573,12,1036,4652
nation,England,E92000001,2020/9/20,4652,355882,4645,354858,7,1024,4215
nation,England,E92000001,2020/9/19,4215,351230,4210,350213,5,1017,4290
nation,England,E92000001,2020/9/18,4290,347015,4266,346003,24,1012,3979
nation,England,E92000001,2020/9/17,3979,342725,3959,341737,20,988,3778
nation,England,E92000001,2020/9/16,3778,338746,3753,337778,25,968,3057
nation,England,E92000001,2020/9/15,3057,334968,3032,334025,25,943,2941
nation,England,E92000001,2020/9/14,2941,331911,2915,330993,26,918,1722
nation,England,E92000001,2020/9/13,1722,328970,1719,328078,3,892,2224
nation,England,E92000001,2020/9/12,2224,327248,2216,326359,8,889,2893
nation,England,E92000001,2020/9/11,2893,325024,2868,324143,25,881,3143
nation,England,E92000001,2020/9/10,3143,322131,3123,321275,20,856,2893
nation,England,E92000001,2020/9/9,2893,318988,2873,318152,20,836,3071
nation,England,E92000001,2020/9/8,3071,316095,3035,315279,36,816,3530
nation,England,E92000001,2020/9/7,3530,313024,3482,312244,48,780,2079
nation,England,E92000001,2020/9/6,2079,309494,2069,308762,10,732,2200
nation,England,E92000001,2020/9/5,2200,307415,2195,306693,5,722,2637
nation,England,E92000001,2020/9/4,2637,305215,2605,304498,32,717,2716
nation,England,E92000001,2020/9/3,2716,302578,2671,301893,45,685,2696
nation,England,E92000001,2020/9/2,2696,299862,2643,299222,53,640,1962
nation,England,E92000001,2020/9/1,1962,297166,1941,296579,21,587,1279
nation,England,E92000001,2020/8/31,1279,295204,1272,294638,7,566,987
nation,England,E92000001,2020/8/30,987,293925,983,293366,4,559,1051
nation,England,E92000001,2020/8/29,1051,292938,1047,292383,4,555,1395
nation,England,E92000001,2020/8/28,1395,291887,1386,291336,9,551,1356
nation,England,E92000001,2020/8/27,1356,290492,1330,289950,26,542,1181
nation,England,E92000001,2020/8/26,1181,289136,1156,288620,25,516,1085
nation,England,E92000001,2020/8/25,1085,287955,1069,287464,16,491,1157
nation,England,E92000001,2020/8/24,1157,286870,1146,286395,11,475,704
nation,England,E92000001,2020/8/23,704,285713,701,285249,3,464,732
nation,England,E92000001,2020/8/22,732,285009,727,284548,5,461,1031
nation,England,E92000001,2020/8/21,1031,284277,1014,283821,17,456,1254
nation,England,E92000001,2020/8/20,1254,283246,1231,282807,23,439,1109
nation,England,E92000001,2020/8/19,1109,281992,1086,281576,23,416,955
nation,England,E92000001,2020/8/18,955,280883,939,280490,16,393,1159
nation,England,E92000001,2020/8/17,1159,279928,1150,279551,9,377,534
nation,England,E92000001,2020/8/16,534,278769,529,278401,5,368,656
nation,England,E92000001,2020/8/15,656,278235,655,277872,1,363,1059
nation,England,E92000001,2020/8/14,1059,277579,1040,277217,19,362,1036
nation,England,E92000001,2020/8/13,1036,276520,1030,276177,6,343,1126
nation,England,E92000001,2020/8/12,1126,275484,1107,275147,19,337,1247
nation,England,E92000001,2020/8/11,1247,274358,1221,274040,26,318,1375
nation,England,E92000001,2020/8/10,1375,273111,1361,272819,14,292,569
nation,England,E92000001,2020/8/9,569,271736,565,271458,4,278,648
nation,England,E92000001,2020/8/8,648,271167,642,270893,6,274,892
nation,England,E92000001,2020/8/7,892,270519,881,270251,11,268,1005
nation,England,E92000001,2020/8/6,1005,269627,991,269370,14,257,974
nation,England,E92000001,2020/8/5,974,268622,952,268379,22,243,965
nation,England,E92000001,2020/8/4,965,267648,938,267427,27,221,963
nation,England,E92000001,2020/8/3,963,266683,947,266489,16,194,518
nation,England,E92000001,2020/8/2,518,265720,514,265542,4,178,508
nation,England,E92000001,2020/8/1,508,265202,503,265028,5,174,644
nation,England,E92000001,2020/7/31,644,264694,635,264525,9,169,879
nation,England,E92000001,2020/7/30,879,264050,864,263890,15,160,994
nation,England,E92000001,2020/7/29,994,263171,979,263026,15,145,796
nation,England,E92000001,2020/7/28,796,262177,783,262047,13,130,824
nation,England,E92000001,2020/7/27,824,261381,814,261264,10,117,518
nation,England,E92000001,2020/7/26,518,260557,517,260450,1,107,499
nation,England,E92000001,2020/7/25,499,260039,496,259933,3,106,720
nation,England,E92000001,2020/7/24,720,259540,712,259437,8,103,741
nation,England,E92000001,2020/7/23,741,258820,736,258725,5,95,764
nation,England,E92000001,2020/7/22,764,258079,756,257989,8,90,697
nation,England,E92000001,2020/7/21,697,257315,691,257233,6,82,769
nation,England,E92000001,2020/7/20,769,256618,759,256542,10,76,419
nation,England,E92000001,2020/7/19,419,255849,414,255783,5,66,473
nation,England,E92000001,2020/7/18,473,255430,471,255369,2,61,548
nation,England,E92000001,2020/7/17,548,254957,547,254898,1,59,644
nation,England,E92000001,2020/7/16,644,254409,639,254351,5,58,726
nation,England,E92000001,2020/7/15,726,253765,722,253712,4,53,661
nation,England,E92000001,2020/7/14,661,253039,657,252990,4,49,694
nation,England,E92000001,2020/7/13,694,252378,694,252333,0,45,351
nation,England,E92000001,2020/7/12,351,251684,351,251639,0,45,433
nation,England,E92000001,2020/7/11,433,251333,429,251288,4,45,524
nation,England,E92000001,2020/7/10,524,250900,521,250859,3,41,688
nation,England,E92000001,2020/7/9,688,250376,682,250338,6,38,682
nation,England,E92000001,2020/7/8,682,249688,676,249656,6,32,565
nation,England,E92000001,2020/7/7,565,249006,562,248980,3,26,664
nation,England,E92000001,2020/7/6,664,248441,660,248418,4,23,544
nation,England,E92000001,2020/7/5,544,247777,543,247758,1,19,385
nation,England,E92000001,2020/7/4,385,247233,385,247215,0,18,536
nation,England,E92000001,2020/7/3,536,246848,535,246830,1,18,561
nation,England,E92000001,2020/7/2,561,246312,557,246295,4,17,607
nation,England,E92000001,2020/7/1,607,245751,604,245738,3,13,578
nation,England,E92000001,2020/6/30,578,245144,577,245134,1,10,666
nation,England,E92000001,2020/6/29,666,244566,664,244557,2,9,413
nation,England,E92000001,2020/6/28,413,243900,412,243893,1,7,506
nation,England,E92000001,2020/6/27,506,243487,504,243481,2,6,640
nation,England,E92000001,2020/6/26,640,242981,639,242977,1,4,643
nation,England,E92000001,2020/6/25,643,242341,643,242338,0,3,732
nation,England,E92000001,2020/6/24,732,241698,731,241695,1,3,727
nation,England,E92000001,2020/6/23,727,240966,726,240964,1,2,821
nation,England,E92000001,2020/6/22,821,240239,821,240238,0,1,550
nation,England,E92000001,2020/6/21,550,239418,550,239417,0,1,626
nation,England,E92000001,2020/6/20,626,238868,626,238867,0,1,818
nation,England,E92000001,2020/6/19,818,238242,817,238241,1,1,938
nation,England,E92000001,2020/6/18,938,237424,938,237424,,,914
nation,England,E92000001,2020/6/17,914,236486,914,236486,,,996
nation,England,E92000001,2020/6/16,996,235572,996,235572,,,944
nation,England,E92000001,2020/6/15,944,234576,944,234576,,,752
nation,England,E92000001,2020/6/14,752,233632,752,233632,,,785
nation,England,E92000001,2020/6/13,785,232880,785,232880,,,938
nation,England,E92000001,2020/6/12,938,232095,938,232095,,,915
nation,England,E92000001,2020/6/11,915,231157,915,231157,,,1086
nation,England,E92000001,2020/6/10,1086,230242,1086,230242,,,1066
nation,England,E92000001,2020/6/9,1066,229156,1066,229156,,,990
nation,England,E92000001,2020/6/8,990,228090,990,228090,,,668
nation,England,E92000001,2020/6/7,668,227100,668,227100,,,723
nation,England,E92000001,2020/6/6,723,226432,723,226432,,,1020
nation,England,E92000001,2020/6/5,1020,225709,1020,225709,,,1147
nation,England,E92000001,2020/6/4,1147,224689,1147,224689,,,1251
nation,England,E92000001,2020/6/3,1251,223542,1251,223542,,,1365
nation,England,E92000001,2020/6/2,1365,222291,1365,222291,,,1319
nation,England,E92000001,2020/6/1,1319,220926,1319,220926,,,984
nation,England,E92000001,2020/5/31,984,219607,984,219607,,,1010
nation,England,E92000001,2020/5/30,1010,218623,1010,218623,,,1374
nation,England,E92000001,2020/5/29,1374,217613,1374,217613,,,1575
nation,England,E92000001,2020/5/28,1575,216239,1575,216239,,,1616
nation,England,E92000001,2020/5/27,1616,214664,1616,214664,,,1461
nation,England,E92000001,2020/5/26,1461,213048,1461,213048,,,1389
nation,England,E92000001,2020/5/25,1389,211587,1389,211587,,,1206
nation,England,E92000001,2020/5/24,1206,210198,1206,210198,,,1309
nation,England,E92000001,2020/5/23,1309,208992,1309,208992,,,1798
nation,England,E92000001,2020/5/22,1798,207683,1798,207683,,,2277
nation,England,E92000001,2020/5/21,2277,205885,2277,205885,,,2359
nation,England,E92000001,2020/5/20,2359,203608,2359,203608,,,2602
nation,England,E92000001,2020/5/19,2602,201249,2602,201249,,,2226
nation,England,E92000001,2020/5/18,2226,198647,2226,198647,,,1593
nation,England,E92000001,2020/5/17,1593,196421,1593,196421,,,1781
nation,England,E92000001,2020/5/16,1781,194828,1781,194828,,,2145
nation,England,E92000001,2020/5/15,2145,193047,2145,193047,,,2222
nation,England,E92000001,2020/5/14,2222,190902,2222,190902,,,2899
nation,England,E92000001,2020/5/13,2899,188680,2899,188680,,,2940
nation,England,E92000001,2020/5/12,2940,185781,2940,185781,,,3088
nation,England,E92000001,2020/5/11,3088,182841,3088,182841,,,2013
nation,England,E92000001,2020/5/10,2013,179753,2013,179753,,,1797
nation,England,E92000001,2020/5/9,1797,177740,1797,177740,,,2622
nation,England,E92000001,2020/5/8,2622,175943,2622,175943,,,3205
nation,England,E92000001,2020/5/7,3205,173321,3205,173321,,,3264
nation,England,E92000001,2020/5/6,3264,170116,3264,170116,,,3148
nation,England,E92000001,2020/5/5,3148,166852,3148,166852,,,2851
nation,England,E92000001,2020/5/4,2851,163704,2851,163704,,,2648
nation,England,E92000001,2020/5/3,2648,160853,2648,160853,,,2762
nation,England,E92000001,2020/5/2,2762,158205,2762,158205,,,4109
nation,England,E92000001,2020/5/1,4109,155443,4109,155443,,,4314
nation,England,E92000001,2020/4/30,4314,151334,4314,151334,,,4737
nation,England,E92000001,2020/4/29,4737,147020,4737,147020,,,4113
nation,England,E92000001,2020/4/28,4113,142283,4113,142283,,,4056
nation,England,E92000001,2020/4/27,4056,138170,4056,138170,,,3137
nation,England,E92000001,2020/4/26,3137,134114,3137,134114,,,3381
nation,England,E92000001,2020/4/25,3381,130977,3381,130977,,,4352
nation,England,E92000001,2020/4/24,4352,127596,4352,127596,,,4575
nation,England,E92000001,2020/4/23,4575,123244,4575,123244,,,4812
nation,England,E92000001,2020/4/22,4812,118669,4812,118669,,,3995
nation,England,E92000001,2020/4/21,3995,113857,3995,113857,,,3698
nation,England,E92000001,2020/4/20,3698,109862,3698,109862,,,3494
nation,England,E92000001,2020/4/19,3494,106164,3494,106164,,,4142
nation,England,E92000001,2020/4/18,4142,102670,4142,102670,,,4088
nation,England,E92000001,2020/4/17,4088,98528,4088,98528,,,4360
nation,England,E92000001,2020/4/16,4360,94440,4360,94440,,,4240
nation,England,E92000001,2020/4/15,4240,90080,4240,90080,,,3568
nation,England,E92000001,2020/4/14,3568,85840,3568,85840,,,3463
nation,England,E92000001,2020/4/13,3463,82272,3463,82272,,,2958
nation,England,E92000001,2020/4/12,2958,78809,2958,78809,,,3085
nation,England,E92000001,2020/4/11,3085,75851,3085,75851,,,3590
nation,England,E92000001,2020/4/10,3590,72766,3590,72766,,,4076
nation,England,E92000001,2020/4/9,4076,69176,4076,69176,,,4315
nation,England,E92000001,2020/4/8,4315,65100,4315,65100,,,4605
nation,England,E92000001,2020/4/7,4605,60785,4605,60785,,,4407
nation,England,E92000001,2020/4/6,4407,56180,4407,56180,,,3094
nation,England,E92000001,2020/4/5,3094,51773,3094,51773,,,3405
nation,England,E92000001,2020/4/4,3405,48679,3405,48679,,,4102
nation,England,E92000001,2020/4/3,4102,45274,4102,45274,,,4097
nation,England,E92000001,2020/4/2,4097,41172,4097,41172,,,4150
nation,England,E92000001,2020/4/1,4150,37075,4150,37075,,,3816
nation,England,E92000001,2020/3/31,3816,32925,3816,32925,,,3514
nation,England,E92000001,2020/3/30,3514,29109,3514,29109,,,2449
nation,England,E92000001,2020/3/29,2449,25595,2449,25595,,,2379
nation,England,E92000001,2020/3/28,2379,23146,2379,23146,,,2672
nation,England,E92000001,2020/3/27,2672,20767,2672,20767,,,2633
nation,England,E92000001,2020/3/26,2633,18095,2633,18095,,,2284
nation,England,E92000001,2020/3/25,2284,15462,2284,15462,,,2041
nation,England,E92000001,2020/3/24,2041,13178,2041,13178,,,2010
nation,England,E92000001,2020/3/23,2010,11137,2010,11137,,,1212
nation,England,E92000001,2020/3/22,1212,9127,1212,9127,,,1040
nation,England,E92000001,2020/3/21,1040,7915,1040,7915,,,1096
nation,England,E92000001,2020/3/20,1096,6875,1096,6875,,,932
nation,England,E92000001,2020/3/19,932,5779,932,5779,,,910
nation,England,E92000001,2020/3/18,910,4847,910,4847,,,683
nation,England,E92000001,2020/3/17,683,3937,683,3937,,,552
nation,England,E92000001,2020/3/16,552,3254,552,3254,,,398
nation,England,E92000001,2020/3/15,398,2702,398,2702,,,315
nation,England,E92000001,2020/3/14,315,2304,315,2304,,,401
nation,England,E92000001,2020/3/13,401,1989,401,1989,,,421
nation,England,E92000001,2020/3/12,421,1588,421,1588,,,358
nation,England,E92000001,2020/3/11,358,1167,358,1167,,,229
nation,England,E92000001,2020/3/10,229,809,229,809,,,127
nation,England,E92000001,2020/3/9,127,580,127,580,,,50
nation,England,E92000001,2020/3/8,50,453,50,453,,,55
nation,England,E92000001,2020/3/7,55,403,55,403,,,74
nation,England,E92000001,2020/3/6,74,348,74,348,,,46
nation,England,E92000001,2020/3/5,46,274,46,274,,,49
nation,England,E92000001,2020/3/4,49,228,49,228,,,52
nation,England,E92000001,2020/3/3,52,179,52,179,,,40
nation,England,E92000001,2020/3/2,40,127,40,127,,,18
nation,England,E92000001,2020/3/1,18,87,18,87,,,4
nation,England,E92000001,2020/2/29,4,69,4,69,,,11
nation,England,E92000001,2020/2/28,11,65,11,65,,,7
nation,England,E92000001,2020/2/27,7,54,7,54,,,1
nation,England,E92000001,2020/2/26,1,47,1,47,,,3
nation,England,E92000001,2020/2/25,3,46,3,46,,,2
nation,England,E92000001,2020/2/24,2,43,2,43,,,6
nation,England,E92000001,2020/2/23,6,41,6,41,,,0
nation,England,E92000001,2020/2/22,0,35,0,35,,,2
nation,England,E92000001,2020/2/21,2,35,2,35,,,0
nation,England,E92000001,2020/2/20,0,33,0,33,,,0
nation,England,E92000001,2020/2/19,0,33,0,33,,,0
nation,England,E92000001,2020/2/18,0,33,0,33,,,1
nation,England,E92000001,2020/2/17,1,33,1,33,,,0
nation,England,E92000001,2020/2/16,0,32,0,32,,,0
nation,England,E92000001,2020/2/15,0,32,0,32,,,0
nation,England,E92000001,2020/2/14,0,32,0,32,,,1
nation,England,E92000001,2020/2/13,1,32,1,32,,,1
nation,England,E92000001,2020/2/12,1,31,1,31,,,4
nation,England,E92000001,2020/2/11,4,30,4,30,,,1
nation,England,E92000001,2020/2/10,1,26,1,26,,,1
nation,England,E92000001,2020/2/9,1,25,1,25,,,3
nation,England,E92000001,2020/2/8,3,24,3,24,,,0
nation,England,E92000001,2020/2/7,0,21,0,21,,,0
nation,England,E92000001,2020/2/6,0,21,0,21,,,1
nation,England,E92000001,2020/2/5,1,21,1,21,,,0
nation,England,E92000001,2020/2/4,0,20,0,20,,,18
nation,England,E92000001,2020/2/3,18,20,18,20,,,1
nation,England,E92000001,2020/2/2,1,2,1,2,,,0
nation,England,E92000001,2020/2/1,0,1,0,1,,,0
nation,England,E92000001,2020/1/31,0,1,0,1,,,1
nation,England,E92000001,2020/1/30,1,1,1,1,,,